,index,Number,Title,Description,Link
59,20,"Season 3, Episode 13",Flatmates in Scotland,"Scott MacDonald and Graham Renwick, both in their mid 20s, grew up just outside of Edinburgh, Scotland, and have known each other almost their whole lives. They are best friends, and enjoy typical Scottish 20-something activities such as frequenting the city's pubs and playing football on weekends. While they love the small town where they live, they both still live with their parents, and are starting to crave more independence. With Edinburgh's property market on the rise, it's nearly impossible for young people just starting their careers to make that first step up the property ladder. That's why they have decided to go in together on the purchase of a flat. Real estate agent Bill Goodall will assist in the hunt.",https://www.hgtv.com/shows/house-hunters-international/episodes/flatmates-in-scotland
60,21,"Season 4, Episode 1",Nesting in Cabo,"Explore Cabo San Lucas, Mexico with a pair of newlyweds excited to be starting their lives together.",https://www.hgtv.com/shows/house-hunters-international/episodes/couple-wants-cabo-home
61,22,"Season 4, Episode 2",Settling Down in Paris,Join a soon-to-be married couple in their search for the perfect Paris palais.,https://www.hgtv.com/shows/house-hunters-international/episodes/settling-down-in-paris
62,23,"Season 4, Episode 3",Wanted: City of Lights Chateau,Explore the City of Lights in search of a cozy chateau for two.,https://www.hgtv.com/shows/house-hunters-international/episodes/wanted-city-of-lights-chateau
63,24,"Season 4, Episode 4",Casa in Spain,After a visit to Barcelona turned into a 3 year stay it's time to settle down and buy a home.,https://www.hgtv.com/shows/house-hunters-international/episodes/casa-in-spain
64,25,"Season 4, Episode 5",Cabo San Lucas,"With a budget of $200,000, can she find a beach house in the Mexican resort town of Cabo San Lucas?",https://www.hgtv.com/shows/house-hunters-international/episodes/cabo-san-lucas
65,26,"Season 4, Episode 6",Paris Dreams,"She followed her dreams to Paris and found love. Now, follow her on her quest to find a home.",https://www.hgtv.com/shows/house-hunters-international/episodes/paris-dreams
66,27,"Season 4, Episode 7",Moving Up Down Under,"Follow a family who, after moving 8 times in 11 years, needs a place they can settle into for good.",https://www.hgtv.com/shows/house-hunters-international/episodes/moving-up-down-under
67,28,"Season 4, Episode 8",Life in Ruins,Explore the ruins of a Portuguese seaside town with a couple determined to live in one.,https://www.hgtv.com/shows/house-hunters-international/episodes/life-in-ruins
68,29,"Season 4, Episode 9","Goodbye Fresno, Hello Portugal","They're ready to pack up for Portugal.  See what kind of house $200,000 will buy in Portugal.",https://www.hgtv.com/shows/house-hunters-international/episodes/goodbye-fresno-hello-portugal
69,30,"Season 4, Episode 10",Dreams of Spain,"Follow our couple out of the cold and into a new home in warm, sunny Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/dreams-of-spain
70,31,"Season 4, Episode 11",A Taste of Tuscany,"An adventurous real estate investor wants to buy a house in Tuscany. What can she buy for $400,000?",https://www.hgtv.com/shows/house-hunters-international/episodes/a-taste-of-tuscany
71,32,"Season 4, Episode 12",Turks and Caicos,The island of Turks and Caicos is growing like crazy.  Can this family find another peaceful home?,https://www.hgtv.com/shows/house-hunters-international/episodes/turks-and-caicos
72,33,"Season 4, Episode 13","Oh, Panama",Follow a couple of empty nesters down Panama way to find a new home and their next adventure.,https://www.hgtv.com/shows/house-hunters-international/episodes/oh-panama
73,34,"Season 5, Episode 1",Bye-Bye Beach House,Join a Hong Kong business woman's search for new digs nearer the heart of the city.,https://www.hgtv.com/shows/house-hunters-international/episodes/bye-bye-beach-house
74,35,"Season 5, Episode 2",Away to Uruguay,Escape with a busy Buenos Aires entrepreneur seeking a vacation retreat in Uruguay.,https://www.hgtv.com/shows/house-hunters-international/episodes/away-to-uruguay
75,36,"Season 5, Episode 3",Spain is Calling,"Follow our newlyweds as they search for a home in warm, sunny Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/spain-is-calling
76,37,"Season 5, Episode 4",Moving to Mazatlan,"Join a couple in Mazatlan, Mexico, to search for the perfect tropical getaway.",https://www.hgtv.com/shows/house-hunters-international/episodes/moving-to-mazatlan
77,38,"Season 5, Episode 5",Costa Rica Bound,A young couple wants to move from New Jersey to Costa Rica and open their very own B&B.,https://www.hgtv.com/shows/house-hunters-international/episodes/costa-rica-bound
78,39,"Season 5, Episode 6",Remain In Spain,"They want to trade in their small, rustic house in Spain for a more modern home closer to the city.",https://www.hgtv.com/shows/house-hunters-international/episodes/remain-in-spain
79,40,"Season 5, Episode 7",Leaving Las Vegas,"They want to trade in the bright lights of Las Vegas for a more peaceful life in La Paz, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/leaving-las-vegas
80,41,"Season 5, Episode 8","Hola, Mexico!","They want to trade in their big house in Florida for a smaller home in Cabo San Lucas, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/hola-mexico
81,42,"Season 5, Episode 9",Bahama Beachfront,We'll follow one man's search for the ultimate in waterfront living in the balmy Bahamas.,https://www.hgtv.com/shows/house-hunters-international/episodes/bahama-beachfront
82,43,"Season 5, Episode 10",Casa de Belize,We'll follow one couple's bold move from Texas to Belize.,https://www.hgtv.com/shows/house-hunters-international/episodes/casa-de-belize
83,44,"Season 5, Episode 11",Nicaraguan Waterfront,We'll follow one couple's search for a beach home in Nicaragua.,https://www.hgtv.com/shows/house-hunters-international/episodes/nicaraguan-waterfront
84,45,"Season 5, Episode 12",A Honduran Hacienda,"They're tired of New York winters, so the search is on for a vacation home in Honduras.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-honduran-hacienda
85,46,"Season 5, Episode 13",Casa de Costa Rica,A Chicago native is ready for some beachfront living in sunny Costa Rica.,https://www.hgtv.com/shows/house-hunters-international/episodes/casa-de-costa-rica
86,47,"Season 6, Episode 1",Baja Bound,Join a family's search for the perfect home by a bay in Baja.,https://www.hgtv.com/shows/house-hunters-international/episodes/baja-bound
